Zeit;TE1;TM11;TM12;UBE1;TE2;TM21;TM22;UBE2;UCE;IC
0.554465;2426;2430;2420;431;2426;2395;2395;435;2924;0
1.079636;2431;2420;2430;431;2431;2395;2395;435;2924;0
1.604057;2436;2420;2430;431;2406;2395;2395;435;2928;0
2.128864;2426;2420;2430;431;2426;2395;2395;435;2928;0
2.653763;2426;2420;2430;431;2426;2395;2395;435;2924;0
3.178673;2406;2430;2420;431;2406;2395;2395;435;2921;0
3.703542;2406;2420;2430;432;2436;2400;2395;435;2924;0
4.229713;2426;2420;2430;431;2426;2395;2395;435;2924;0
4.732567;2406;2430;2420;431;2426;2395;2395;434;2931;0
5.232998;2406;2430;2430;431;2426;2395;2395;435;2924;0
5.733368;2426;2420;2430;431;2406;2395;2395;435;2924;0
6.234471;2406;2430;2430;432;2436;2395;2395;434;2924;0
6.733486;2426;2420;2430;432;2406;2395;2395;435;2928;0
7.232208;2406;2430;2430;432;2426;2395;2395;434;2924;0
7.732986;2426;2430;2430;432;2426;2385;2395;435;2921;0
8.232747;2426;2420;2420;432;2426;2385;2395;435;2928;0
8.732773;2436;2430;2430;432;2426;2395;2395;435;2924;0
9.23268;2406;2420;2440;431;2426;2395;2395;434;2924;0
9.733502;2406;2420;2420;432;2426;2395;2395;435;2924;0
10.233648;2426;2420;2430;432;2426;2395;2395;434;2921;0
10.732944;2406;2420;2430;432;2406;2395;2395;435;2924;0
11.232747;2431;2430;2430;432;2431;2395;2385;434;2918;0
11.73237;2406;2430;2420;432;2426;2395;2395;434;2924;0
12.234329;2406;2430;2430;432;2426;2395;2395;435;2924;0
12.733129;2424;2410;2420;432;2443;2400;2395;434;2928;0
13.233883;2406;2420;2430;432;2426;2385;2395;434;2921;0
13.732454;2406;2430;2430;432;2426;2395;2395;434;2924;0
14.231599;2406;2420;2420;432;2406;2395;2395;435;2921;0
14.732367;2386;2420;2420;432;2436;2385;2395;434;2924;0
15.233791;2406;2420;2420;432;2436;2395;2395;813;2188;1440
15.734302;2406;2430;2430;432;2406;2395;2395;807;2166;1440
16.233819;2396;2420;2420;432;2396;2395;2395;803;2156;1440
16.732899;2406;2420;2420;433;2406;2395;2395;800;2124;1440
17.233634;2426;2420;2430;432;2426;2395;2395;799;2108;1440
17.732792;2406;2430;2420;432;2436;2385;2395;796;2105;1440
18.233983;2406;2420;2430;432;2453;2385;2395;794;2096;1440
18.732526;2406;2420;2420;432;2453;2395;2395;792;2092;1440
19.232306;2406;2420;2420;432;2453;2385;2385;790;2092;1440
19.732842;2386;2430;2420;432;2473;2395;2395;789;2083;1440
20.234011;2396;2430;2420;431;2483;2395;2395;787;2083;1440
20.733243;2406;2430;2430;432;2533;2395;2395;786;2076;1440
21.232986;2386;2420;2420;432;2550;2395;2395;785;2070;1440
21.731666;2426;2420;2420;432;2570;2395;2400;783;2064;1440
22.233084;2406;2420;2420;432;2609;2395;2400;782;2060;1440
22.732694;2406;2430;2420;432;2646;2395;2410;781;2064;1440
23.231912;2406;2420;2420;433;2666;2400;2400;780;2057;1440
23.73258;2406;2420;2430;432;2686;2400;2400;779;2057;1440
24.233046;2406;2420;2420;432;2745;2410;2410;778;2051;1440
24.732617;2396;2420;2430;432;2772;2410;2410;777;2048;1440
25.233709;2426;2420;2420;432;2802;2420;2420;776;2044;1440
25.730597;2406;2420;2420;432;2842;2420;2420;775;2048;1440
26.232875;2396;2420;2420;432;2869;2420;2420;774;2044;1440
26.732704;2406;2420;2420;432;2938;2420;2430;774;2041;1440
27.233361;2406;2420;2420;432;2955;2430;2430;773;2038;1440
27.732758;2426;2420;2420;432;2995;2430;2440;772;2038;1440
28.233715;2406;2420;2420;432;3014;2440;2445;772;2035;1440
28.73358;2406;2420;2420;432;3071;2445;2455;770;2035;1440
29.232896;2406;2420;2420;432;3130;2455;2465;770;2035;1440
29.732613;2406;2420;2420;432;3167;2465;2465;769;2032;1440
30.231632;2406;2420;2420;432;3167;2465;2475;769;2028;1440
30.732469;2396;2420;2420;432;3196;2475;2475;768;2025;1440
31.233757;2416;2420;2420;432;3236;2480;2480;767;2025;1440
31.73182;2426;2430;2420;432;3283;2480;2500;766;2028;1440
32.232902;2426;2420;2420;432;3322;2500;2500;764;2022;1440
32.732131;2406;2420;2420;432;3378;2500;2525;766;2022;1440
33.232012;2406;2440;2420;432;3398;2510;2510;765;2019;1440
33.732484;2426;2420;2410;432;3437;2520;2525;765;2019;1440
34.232522;2406;2420;2420;432;3474;2525;2525;763;2016;1440
34.73287;2406;2445;2420;432;3513;2535;2535;763;2016;1440
35.23231;2406;2420;2420;432;3553;2545;2555;763;2012;1440
35.731463;2406;2420;2420;432;3570;2555;2555;763;2009;1440
36.232822;2406;2420;2420;432;3609;2565;2565;762;2009;1440
36.732693;2406;2400;2420;432;3668;2570;2580;762;2006;1440
37.233149;2406;2420;2400;432;3685;2580;2590;761;2009;1440
37.732295;2406;2420;2420;432;3705;2590;2600;760;2006;1440
38.233489;2386;2420;2420;432;3724;2605;2605;760;2003;1440
38.731731;2406;2410;2420;432;3780;2615;2615;761;2006;1440
39.231975;2406;2420;2420;432;3780;2625;2625;760;2003;1440
39.731677;2386;2420;2420;432;3820;2635;2635;758;2006;1440
40.232099;2406;2420;2420;432;3859;2645;2650;758;2000;1440
40.732044;2391;2410;2420;432;3864;2650;2660;757;2000;1440
41.233379;2406;2410;2420;432;3935;2670;2660;757;2006;1440
41.732491;2386;2420;2420;432;3935;2680;2680;757;2003;1440
42.231793;2406;2420;2420;432;3991;2690;2690;757;1996;1440
42.732579;2406;2410;2420;432;4010;2705;2705;756;2000;1440
43.233094;2406;2420;2420;432;4010;2725;2705;756;1993;1440
43.731292;2406;2420;2410;432;4069;2735;2725;755;1993;1440
44.233593;2406;2410;2420;432;4086;2745;2735;755;1993;1440
44.732255;2406;2410;2420;432;4105;2750;2745;755;1993;1440
45.232576;2406;2420;2420;432;4125;2770;2760;756;1993;1440
45.732753;2406;2410;2420;432;4164;2780;2770;754;1996;1440
46.232369;2406;2410;2420;432;4201;2790;2780;754;1990;1440
46.731636;2406;2420;2420;432;4201;2795;2790;754;1990;1440
47.231947;2386;2410;2410;432;4220;2805;2795;754;1990;1440
47.731939;2386;2410;2410;432;4259;2825;2815;753;1990;1440
48.232457;2406;2410;2410;432;4279;2845;2835;752;1993;1440
48.731859;2406;2410;2420;432;4296;2845;2845;752;1987;1440
49.232158;2386;2410;2420;432;4335;2850;2850;753;1987;1440
49.732132;2386;2410;2420;432;4335;2870;2860;752;1984;1440
50.232818;2386;2420;2410;432;4391;2890;2880;751;1990;1440
50.732145;2406;2410;2410;432;4410;2900;2890;751;1987;1440
51.23215;2386;2420;2420;432;4410;2905;2900;750;1984;1440
51.732607;2386;2420;2420;432;4449;2905;2905;750;1984;1440
52.232735;2406;2410;2410;432;4469;2935;2925;750;1980;1440
52.732702;2406;2410;2410;432;4486;2945;2945;749;1980;1440
53.232852;2386;2410;2410;432;4486;2960;2955;749;1980;1440
53.732142;2386;2410;2410;432;4524;2970;2960;749;1980;1440
54.231738;2386;2410;2410;432;4563;2990;2970;749;1987;1440
54.732807;2406;2410;2420;432;4563;3000;2990;748;1980;1440
55.232315;2386;2410;2410;432;4583;3010;3000;748;1977;1440
55.733092;2386;2410;2410;432;4600;3035;3010;748;1980;1440
56.232467;2406;2410;2410;433;4600;3045;3035;748;1980;1440
56.73327;2367;2410;2420;432;4639;3055;3045;747;1977;1440
57.232372;2406;2410;2410;433;4678;3075;3045;747;1977;1440
57.73211;2386;2410;2430;432;4678;3085;3055;747;1977;1440
58.232947;2367;2410;2410;432;4695;3100;3075;746;1977;1440
58.732186;2406;2410;2410;432;4695;3110;3085;747;1974;1440
59.232488;2386;2410;2410;432;4753;3120;3090;746;1974;1440
59.732694;2386;2410;2410;432;4753;3120;3110;746;1974;1440
60.232412;2376;2410;2410;432;4780;3140;3120;746;1971;1440
60.732815;2386;2410;2420;432;4789;3150;3130;745;1971;1440
61.233296;2386;2410;2410;432;4809;3175;3150;745;1974;1440
61.732572;2411;2410;2410;432;4833;3175;3160;745;1971;1440
62.232546;2386;2410;2410;432;4847;3195;3170;745;1971;1440
62.732952;2406;2410;2410;432;4867;3205;3185;744;1971;1440
63.232322;2386;2410;2410;432;4867;3225;3195;744;1971;1440
63.732425;2386;2410;2420;432;4886;3235;3195;744;1971;1440
64.232623;2386;2410;2410;432;4903;3255;3215;744;1964;1440
64.733096;2386;2410;2410;432;4903;3265;3235;743;1971;1440
65.232161;2406;2385;2410;432;4923;3270;3245;743;1968;1440
65.731858;2406;2410;2420;432;4961;3265;3255;743;1964;1440
66.232837;2386;2420;2410;432;4961;3300;3265;743;1968;1440
66.733156;2406;2410;2410;433;4981;3310;3270;742;1964;1440
67.232292;2406;2410;2410;432;4998;3330;3290;742;1964;1440
67.731464;2406;2410;2410;432;5017;3330;3300;742;1971;1440
68.232546;2406;2410;2410;432;5037;3340;3320;742;1964;1440
68.731737;2386;2410;2410;432;5056;3350;3330;742;1964;1440
69.232311;2406;2410;2410;432;5056;3360;3340;741;1968;1440
69.732222;2386;2410;2410;432;5092;3380;3360;741;1964;1440
70.2324;2386;2410;2410;432;5092;3390;3360;741;1961;1440
70.73212;2386;2410;2410;432;5112;3400;3380;741;1964;1440
71.231758;2406;2410;2410;432;5112;3405;3380;741;1964;1440
71.731294;2386;2410;2410;432;5131;3425;3400;740;1961;1440
72.232205;2386;2410;2410;432;5131;3400;3405;740;1961;1440
72.732348;2406;2410;2410;432;5170;3435;3415;742;1961;1440
73.231394;2386;2410;2410;432;5189;3455;3425;740;1961;1440
73.731666;2386;2420;2410;432;5170;3475;3445;740;1958;1440
74.23338;2406;2410;2410;432;5225;3485;3445;740;1958;1440
74.732024;2386;2410;2410;432;5245;3475;3465;739;1958;1440
75.232707;2396;2400;2410;432;5216;3495;3475;739;1961;1440
75.732983;2386;2400;2410;433;5264;3515;3485;739;1961;1440
