Zeit;TE1;TM11;TM12;UBE1;TE2;TM21;TM22;UBE2;UCE;IC
0.553712;2376;2385;2385;433;2463;2410;2420;432;2924;0
1.06318;2376;2385;2385;433;2443;2420;2410;433;2924;0
1.562584;2396;2385;2395;433;2426;2420;2420;435;2928;0
2.061461;2376;2385;2385;433;2463;2420;2420;434;2921;0
2.561589;2357;2395;2385;432;2426;2420;2420;434;2924;0
3.061953;2396;2395;2395;433;2443;2410;2420;434;2921;0
3.561422;2376;2395;2395;433;2443;2410;2410;434;2924;0
4.063249;2386;2395;2385;433;2473;2440;2420;434;2924;0
4.562843;2376;2375;2400;433;2426;2410;2420;434;2924;0
5.062965;2367;2385;2385;433;2453;2420;2420;434;2928;0
5.56141;2396;2395;2400;432;2443;2420;2420;434;2924;0
6.062584;2376;2385;2385;433;2426;2420;2430;433;2928;0
6.562392;2376;2395;2385;433;2426;2400;2445;434;2924;0
7.062983;2376;2385;2385;433;2426;2410;2420;432;2924;0
7.562873;2367;2395;2395;433;2453;2430;2420;434;2921;0
8.062764;2386;2385;2385;433;2473;2420;2420;433;2924;0
8.562867;2406;2395;2385;433;2436;2420;2420;434;2921;0
9.062417;2386;2385;2395;433;2453;2420;2420;434;2924;0
9.561865;2376;2375;2385;433;2443;2420;2420;434;2924;0
10.0623;2396;2385;2385;432;2443;2430;2420;434;2924;0
10.562866;2376;2395;2395;433;2443;2420;2430;434;2924;0
11.063098;2376;2395;2395;433;2426;2430;2430;433;2924;0
11.562976;2376;2395;2395;433;2443;2420;2420;434;2924;0
12.063048;2376;2395;2395;433;2443;2420;2420;434;2921;0
12.561785;2367;2360;2395;433;2473;2420;2420;433;2928;0
13.062743;2396;2395;2385;433;2426;2420;2420;434;2928;0
13.5621;2386;2395;2385;433;2436;2420;2420;434;2921;0
14.062741;2396;2395;2395;432;2443;2420;2410;434;2924;0
14.562664;2376;2400;2395;433;2426;2420;2420;434;2924;0
15.061812;2376;2400;2385;433;2443;2420;2420;434;2924;0
15.562289;2376;2395;2395;433;2443;2420;2420;434;2928;0
16.062693;2386;2395;2395;433;2453;2420;2420;434;2924;0
16.56225;2386;2395;2395;808;2453;2440;2440;428;2243;1440
17.061636;2406;2400;2385;804;2453;2430;2440;428;2217;1440
17.561841;2416;2400;2395;802;2463;2440;2440;428;2201;1440
18.062963;2473;2400;2395;799;2453;2430;2430;428;2185;1440
18.56205;2503;2395;2395;797;2426;2440;2440;428;2163;1440
19.062857;2540;2395;2385;795;2443;2440;2440;428;2144;1440
19.562016;2570;2395;2395;794;2436;2440;2440;428;2137;1440
20.062891;2619;2385;2395;792;2426;2440;2430;429;2131;1440
20.562873;2656;2395;2395;791;2443;2440;2430;428;2128;1440
21.062722;2696;2400;2395;790;2463;2430;2430;429;2118;1440
21.562216;2745;2400;2400;790;2453;2430;2430;429;2115;1440
22.062872;2753;2410;2400;789;2426;2430;2440;428;2112;1440
22.563125;2792;2400;2410;788;2426;2440;2430;428;2105;1440
23.062579;2842;2420;2410;786;2453;2430;2430;429;2096;1440
23.56224;2869;2420;2420;786;2426;2440;2445;431;2099;1440
24.062886;2908;2420;2430;785;2426;2440;2440;428;2099;1440
24.562094;2945;2420;2445;785;2443;2430;2430;429;2092;1440
25.062227;2965;2430;2440;784;2426;2430;2430;429;2089;1440
25.563047;2995;2440;2445;783;2453;2430;2440;429;2086;1440
26.062308;3054;2440;2455;786;2473;2430;2440;429;2083;1440
26.563431;3081;2445;2455;782;2443;2430;2440;428;2080;1440
27.062032;3130;2455;2465;782;2436;2430;2440;428;2080;1440
27.56212;3140;2455;2480;782;2443;2430;2440;429;2076;1440
28.062652;3177;2465;2490;781;2426;2430;2430;428;2080;1440
28.562523;3196;2465;2490;781;2443;2430;2440;429;2073;1440
29.062228;3236;2480;2500;780;2443;2430;2430;429;2070;1440
29.56222;3273;2500;2520;779;2443;2430;2430;429;2067;1440
30.06199;3292;2500;2525;779;2426;2430;2430;427;2064;1440
30.562981;3332;2520;2510;779;2426;2430;2430;429;2060;1440
31.062968;3351;2525;2545;778;2443;2430;2430;428;2060;1440
31.562886;3388;2535;2555;778;2443;2430;2430;429;2057;1440
32.062954;3428;2545;2565;777;2443;2430;2440;429;2064;1440
32.561986;3447;2565;2580;777;2443;2430;2430;429;2057;1440
33.062584;3494;2565;2590;776;2453;2430;2430;428;2051;1440
33.562275;3523;2570;2605;776;2443;2430;2430;428;2051;1440
34.061898;3543;2580;2615;777;2426;2430;2455;429;2054;1440
34.563223;3560;2600;2625;775;2426;2430;2430;428;2051;1440
35.061903;3599;2605;2645;775;2443;2430;2430;429;2048;1440
35.561815;3619;2615;2650;774;2443;2430;2430;428;2048;1440
36.062187;3638;2635;2660;774;2443;2430;2440;428;2044;1440
36.563138;3695;2645;2680;773;2426;2430;2430;429;2054;1440
37.062534;3695;2660;2695;773;2416;2430;2430;428;2044;1440
37.562751;3734;2670;2695;773;2443;2420;2430;428;2044;1440
38.06208;3754;2680;2725;773;2426;2430;2430;428;2044;1440
38.562496;3790;2695;2735;772;2443;2420;2430;429;2041;1440
39.06216;3829;2705;2745;773;2443;2430;2430;429;2038;1440
39.561637;3829;2725;2760;771;2443;2420;2430;429;2041;1440
40.063243;3866;2735;2780;771;2443;2420;2430;429;2035;1440
40.562643;3886;2750;2790;771;2443;2430;2430;429;2038;1440
41.06317;3925;2770;2805;771;2443;2430;2420;429;2035;1440
41.562081;3944;2780;2815;770;2426;2420;2430;429;2038;1440
42.062854;3944;2790;2835;770;2426;2430;2420;429;2032;1440
42.56258;3981;2815;2845;770;2443;2430;2430;428;2025;1440
43.062369;4001;2825;2860;769;2443;2430;2420;428;2028;1440
43.561367;4020;2845;2870;768;2443;2430;2420;428;2025;1440
44.062659;4059;2850;2890;768;2426;2420;2430;429;2028;1440
