Zeit;TE1;TE2;Ush;TMref;TM11;TM12;UBE1;TM21;TM22;UBE2;UCE
0.554465;429496729;429496729;4294967284;1037;1040;1041;862;1048;1048;869;1827
1.079636;429496729;429496729;4294967286;1035;1041;1040;862;1048;1048;869;1827
1.604057;0;429496728;4294967284;1037;1041;1040;862;1048;1048;869;1829
2.128864;429496729;429496729;4294967290;1038;1041;1040;862;1048;1048;869;1829
2.653763;429496729;429496729;4294967286;1038;1041;1040;862;1048;1047;869;1828
3.178673;429496728;429496728;4294967287;1038;1040;1041;862;1048;1047;869;1826
3.703542;429496728;0;4294967292;1038;1042;1040;863;1045;1047;869;1827
4.229713;429496729;429496729;4294967288;1037;1041;1040;862;1048;1047;869;1828
4.732567;429496728;429496729;4294967278;1037;1040;1041;862;1048;1048;868;1831
5.232998;429496728;429496729;4294967290;1037;1040;1040;861;1048;1048;869;1827
5.733368;429496729;429496728;4294967292;1038;1041;1039;862;1047;1047;869;1827
6.234471;429496728;0;4294967290;1037;1040;1040;863;1048;1048;868;1827
6.733486;429496729;429496728;4294967287;1037;1041;1040;863;1048;1047;869;1830
7.232208;429496728;429496729;4294967280;1038;1040;1040;863;1048;1048;868;1827
7.732986;429496729;429496729;4294967279;1037;1040;1040;863;1049;1047;869;1826
8.232747;429496729;429496729;4294967289;1037;1042;1041;863;1049;1048;869;1829
8.732773;0;429496729;4294967289;1037;1040;1040;863;1048;1048;869;1827
9.23268;429496728;429496729;4294967286;1038;1041;1038;862;1048;1047;868;1827
9.733502;429496728;429496729;4294967280;1038;1041;1041;863;1048;1047;869;1827
10.233648;429496729;429496729;4294967285;1037;1041;1039;863;1048;1048;868;1826
10.732944;429496728;429496728;4294967282;1038;1041;1040;863;1047;1047;869;1827
11.232747;429496729;429496729;4294967288;1036;1040;1040;863;1048;1049;868;1824
11.73237;429496728;429496729;4294967291;1038;1040;1041;863;1048;1048;868;1828
12.234329;429496728;429496729;4294967277;1037;1040;1040;863;1048;1048;869;1827
12.733129;429496728;429496729;4294967280;1034;1043;1041;863;1046;1048;868;1830
13.233883;429496728;429496729;4294967284;1038;1041;1039;863;1049;1048;868;1826
13.732454;429496728;429496729;4294967281;1038;1040;1040;863;1048;1047;868;1827
14.231599;429496728;429496728;4294967285;1038;1042;1041;863;1048;1047;869;1826
14.732367;429496727;0;4294967279;1037;1041;1041;863;1049;1047;868;1827
15.233791;429496728;0;4704;1037;1041;1041;863;1048;1048;1626;1367
15.734302;429496728;429496728;4707;1037;1040;1040;863;1048;1048;1613;1354
16.233819;429496728;429496728;4708;1039;1042;1041;863;1048;1047;1606;1348
16.732899;429496728;429496728;4707;1038;1041;1041;866;1048;1048;1600;1327
17.233634;429496729;429496729;4713;1037;1041;1040;863;1048;1047;1597;1317
17.732792;429496728;0;4711;1037;1040;1042;863;1050;1048;1592;1316
18.233983;429496728;1;4710;1038;1041;1040;863;1049;1047;1588;1310
18.732526;429496728;1;4710;1037;1041;1041;863;1048;1047;1583;1308
19.232306;429496728;1;4708;1038;1041;1041;863;1049;1049;1580;1307
19.732842;429496727;2;4706;1037;1040;1041;863;1048;1048;1577;1301
20.234011;429496728;3;4699;1039;1040;1041;862;1048;1047;1574;1301
20.733243;429496728;5;4713;1038;1040;1040;864;1048;1048;1572;1298
21.232986;429496727;6;4711;1038;1041;1041;863;1048;1047;1569;1293
21.731666;429496729;7;4707;1038;1042;1041;863;1047;1046;1566;1290
22.233084;429496728;9;4711;1038;1042;1041;863;1048;1045;1564;1288
22.732694;429496728;11;4706;1038;1040;1041;863;1047;1043;1561;1289
23.231912;429496728;12;4707;1037;1041;1041;865;1045;1046;1559;1286
23.73258;429496728;13;4705;1038;1041;1039;863;1045;1045;1557;1285
24.233046;429496728;16;4708;1038;1042;1041;864;1044;1044;1555;1281
24.732617;429496728;18;4710;1039;1041;1039;863;1044;1043;1553;1280
25.233709;429496729;19;4713;1037;1041;1041;863;1042;1042;1552;1277
25.730597;429496728;21;4705;1038;1041;1041;864;1042;1042;1550;1279
26.232875;429496728;23;4710;1039;1041;1042;863;1042;1041;1548;1277
26.732704;429496728;26;4710;1038;1042;1042;864;1041;1039;1547;1275
27.233361;429496728;27;4706;1038;1041;1041;864;1039;1039;1545;1274
27.732758;429496729;29;4714;1038;1041;1042;864;1039;1037;1544;1273
28.233715;429496728;30;4711;1038;1041;1041;864;1037;1035;1543;1272
28.73358;429496728;33;4704;1038;1041;1042;863;1035;1033;1540;1271
29.232896;429496728;36;4710;1037;1041;1041;863;1034;1032;1540;1272
