Zeit;TE1;TE2;Ush;TMref;TM11;TM12;UBE1;TM21;TM22;UBE2;UCE
0.553712;429496727;2;4294967284;1039;1049;1050;865;1043;1042;863;1828
1.06318;429496727;1;4294967283;1040;1049;1049;865;1042;1044;866;1828
1.562584;429496728;0;4294967287;1039;1049;1048;865;1041;1041;869;1829
2.061461;429496727;2;4294967283;1039;1049;1049;865;1042;1042;867;1826
2.561589;429496726;0;4294967276;1039;1048;1049;864;1042;1042;867;1828
3.061953;429496728;1;4294967279;1039;1048;1048;865;1044;1041;867;1826
3.561422;429496727;1;4294967285;1040;1048;1048;865;1043;1043;867;1827
4.063249;429496727;2;4294967291;1038;1048;1049;865;1037;1041;868;1828
4.562843;429496727;0;4294967281;1040;1051;1046;865;1043;1042;867;1827
5.062965;429496726;1;4294967279;1038;1049;1049;865;1042;1041;867;1829
5.56141;429496728;1;4294967289;1039;1048;1045;864;1041;1041;867;1827
6.062584;429496727;0;4294967278;1039;1049;1049;866;1041;1039;866;1829
6.562392;429496727;0;4294967292;1039;1048;1049;865;1045;1036;867;1828
7.062983;429496727;0;4294967287;1039;1049;1049;865;1043;1041;863;1828
7.562873;429496726;1;4294967291;1037;1048;1048;865;1040;1042;867;1826
8.062764;429496727;2;4294967286;1038;1049;1049;865;1041;1042;866;1827
8.562867;429496728;0;4294967280;1038;1048;1050;865;1042;1041;867;1825
9.062417;429496727;1;4294967292;1038;1049;1048;865;1042;1042;867;1828
9.561865;429496727;1;4294967284;1039;1051;1049;865;1042;1042;867;1827
10.0623;429496728;1;4294967279;1039;1049;1049;863;1040;1041;867;1828
10.562866;429496727;1;4294967279;1040;1047;1048;865;1041;1040;867;1828
11.063098;429496727;0;4294967279;1039;1047;1048;865;1040;1039;866;1828
11.562976;429496727;1;4294967277;1040;1048;1048;865;1042;1042;867;1828
12.063048;429496727;1;4294967289;1039;1047;1048;865;1041;1041;868;1826
12.561785;429496726;2;4294967288;1038;1055;1048;865;1041;1042;865;1829
13.062743;429496728;0;4294967287;1039;1047;1049;865;1041;1041;867;1830
13.5621;429496727;0;4294967284;1038;1048;1049;865;1041;1042;867;1825
14.062741;429496728;1;4294967276;1039;1047;1048;864;1041;1044;867;1827
14.562664;429496727;0;4294967284;1039;1046;1048;865;1041;1041;867;1828
15.061812;429496727;1;4294967277;1039;1046;1049;865;1041;1041;868;1827
15.562289;429496727;1;4294967279;1039;1047;1048;865;1041;1041;868;1830
16.062693;429496727;1;4294967285;1038;1047;1048;866;1041;1042;868;1827
16.56225;429496727;1;4712;1038;1048;1048;1616;1037;1038;856;1402
17.061636;429496728;1;4702;1038;1046;1049;1608;1039;1038;856;1385
17.561841;429496729;2;4706;1039;1046;1048;1603;1038;1038;855;1375
18.062963;2;1;4704;1038;1046;1048;1598;1039;1039;855;1365
18.56205;4;0;4711;1039;1048;1048;1594;1038;1038;856;1352
